[2026-04-07T08:25:58.500Z] GET https://www.musicstax.com/track/wise-voquotw-vip-remix/7i1qsbXNf6C8Zdo3COMzJY → pending (?ms, ?B)
[2026-04-07T08:30:12.113Z] GET https://www.shazam.com/_next/static/css/81c499062ad4e3a7.css → pending (?ms, ?B)
[2026-04-07T08:30:12.113Z] GET https://www.shazam.com/_next/static/css/c87fecdcb295ffeb.css → pending (?ms, ?B)
[2026-04-07T08:30:12.113Z] GET https://www.shazam.com/_next/static/css/e69d9aa9ff4753f9.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/abca97844f32847d.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/14fec3b3393daa9e.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/c9d7e9343b84fa0c.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/3701554ce5196c32.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/f18cc3bd420b876a.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/f039f4ee023fa4cd.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/500733c838595ccd.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/65d11e885165aeb7.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/792e042753210ace.css → pending (?ms, ?B)
[2026-04-07T08:30:12.114Z] GET https://www.shazam.com/_next/static/css/9126a368bf537eac.css → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://i.ytimg.com/vi/nTZja8DFEiE/maxresdefault.jpg → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/74/1c/f4/741cf4ef-1d3c-28f9-3493-df2781a20a6c/pr_source.png/50x50cc.webp → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://www.shazam.com/_next/static/css/867ec008e71383ea.css → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://www.shazam.com/_next/static/css/d42640414fea9d72.css → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://www.shazam.com/_next/static/css/0ecaf4baf63bd924.css → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://www.shazam.com/_next/static/css/fceff7144cb993e4.css → pending (?ms, ?B)
[2026-04-07T08:30:12.314Z] GET https://www.shazam.com/_next/static/css/25386a28e3ce04d9.css → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/css/acad818a1a359021.css → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/css/d1582ebc03d1c257.css → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/css/e9b3cc1fa7f53155.css → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/css/001337cdf9f64693.css → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/webpack-119fc6095c6f0aa2.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/4bd1b696-182b6b13bdad92e3.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/1255-940140a784958c96.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/main-app-31c324138f338a08.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/430e88be-056b1b269359d81b.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/c16f53c3-67dd79ee26f5057c.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/2619-04bc32f026a0d946.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/8313-927f4337f9911ec6.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/6422-d50199b53f0bd165.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/2489-bc5a0c1fe8e2dedb.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/1346-5a839f77678049b2.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/5797-f181f4ca46d584e9.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/87-cd34bcf45cb02364.js → pending (?ms, ?B)
[2026-04-07T08:30:12.315Z] GET https://www.shazam.com/_next/static/chunks/5375-beccf1e2403c27aa.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/8245-2c46663c133ca985.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/1683-4a2604a221e2c37f.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/2485-29e0ad1a46c36ec9.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/5627-f0dbf3789fe7dfa0.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/8947-4399c447bc72beff.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/app/%5Blocale%5D/(contextual-navigation)/song/%5Bid%5D/%5Bslug%5D/page-42074124b7bd593d.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/app/%5Blocale%5D/(fastforward)/layout-3de63e711d418653.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/6706-07feea6bfe8cb8e3.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/6871-9c3b350132fe4863.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/8348-314f2bf568aa9951.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/6153-8c798342b7ce91d9.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/app/%5Blocale%5D/layout-9f91613082f6d705.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/app/%5Blocale%5D/error-00a95c91a6766f5a.js → pending (?ms, ?B)
[2026-04-07T08:30:12.316Z] GET https://www.shazam.com/_next/static/chunks/97.814d5d2207fd6c4a.js → pending (?ms, ?B)
[2026-04-07T08:30:17.841Z] GET https://beacon.shazam.com/beacons/api/v1/beacon/website/1.0/en-us/US/web/-/beacon/2da2ea2e-8168-4fbb-a3b3-93dddeb030b1/impression?screenname=initial_load&path=/en-us/song/1702670780/wise-voquote-vip-remix → pending (?ms, ?B)
[2026-04-07T08:30:17.870Z] GET https://ci.assets.shazam.com/website-storybook/fonts/neuemontreal/NeueMontreal-Medium.woff2 → pending (?ms, ?B)
[2026-04-07T08:30:17.870Z] GET https://ci.assets.shazam.com/website-storybook/fonts/neuemontreal/NeueMontreal-Bold.woff2 → pending (?ms, ?B)
[2026-04-07T08:30:17.870Z] GET https://ci.assets.shazam.com/website-storybook/fonts/neuemontreal/NeueMontreal-Regular.woff2 → pending (?ms, ?B)
[2026-04-07T08:30:17.870Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/b3/73/e9/b373e9b8-9ead-e9a7-0825-f8d8a30dabd6/3617221727448_cover.png/600x600cc.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.870Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/74/1c/f4/741cf4ef-1d3c-28f9-3493-df2781a20a6c/pr_source.png/60x60bb.jpg → pending (?ms, ?B)
[2026-04-07T08:30:17.870Z] GET https://is1-ssl.mzstatic.com/image/thumb/AMCArtistImages211/v4/d4/3a/c9/d43ac99a-21d2-6251-a1d2-78a1f7fd9f5d/file_cropped.png/60x60bb.jpg → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/AMCArtistImages211/v4/f1/37/31/f137318d-3626-acd4-3b8f-8b90e44827eb/ami-identity-9baeaeffd4cfef237a1c6bbda5166071-2026-01-14T06-31-55.039Z_cropped.png/60x60bb.jpg → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/gen/60x60AM.SCM01.jpg?name=S00%3D&signature=44c1ba52b063146c0c550df5407e1d7277adc6849b32d0d7f1b42b29f6036784&vkey=1 → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://assets.shazam.com/website/images/apps/sprite.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://assets.shazam.com/website/images/apps/appstore_chrome_dark.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://assets.shazam.com/website/images/apps/galaxystore.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/b3/73/e9/b373e9b8-9ead-e9a7-0825-f8d8a30dabd6/3617221727448_cover.png/400x400bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2e/41/84/2e4184ac-825b-cff2-e6e7-9b1ece847702/859759612886_cover.png/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/3c/c8/2b/3cc82b1d-2f5c-7389-71d2-a18c40e75bb4/0198448570794_cover.jpg/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e3/45/d4/e345d4c1-2859-c113-991b-b6ea2215e484/859759800405_cover.png/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/47/32/0d/47320d6f-6048-dde0-60d8-54201797f3ce/4550709089951_cover.jpg/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b8/1e/8b/b81e8ba0-b6ed-3cb3-3ad9-868d0204eb8b/4550708303317_cover.png/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.871Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/9c/9d/75/9c9d7505-2eb3-996d-e1d6-f507a0385974/4547366724929.jpg/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.872Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/38/86/83/38868399-02aa-9377-dca1-e071919e14f7/3617222547885_cover.png/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.872Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e5/2f/0b/e52f0b64-2e8a-5a8c-ce6a-f4038f0b09ca/4525853647296.jpg/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:17.872Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/b3/73/e9/b373e9b8-9ead-e9a7-0825-f8d8a30dabd6/3617221727448_cover.png/75x75bb.webp → pending (?ms, ?B)
[2026-04-07T08:30:31.995Z] GET https://www.shazam.com/services/partner/oauth/commerce/validate → pending (?ms, ?B)
[2026-04-07T08:30:31.996Z] GET https://www.shazam.com/services/announcement/US/en-us/tpa/?trackId=675237022&artistId=1634355959&state=published → pending (?ms, ?B)
[2026-04-07T08:30:32.000Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/b3/73/e9/b373e9b8-9ead-e9a7-0825-f8d8a30dabd6/3617221727448_cover.png/200x200cc.jpg → pending (?ms, ?B)
[2026-04-07T08:30:32.243Z] GET https://js-cdn.music.apple.com/musickit/v3/musickit.js → 200 (464ms, 614800B)
[2026-04-07T08:30:32.720Z] GET https://js-cdn.music.apple.com/musickit/v3/components/musickit-components/musickit-components.esm.js → 200 (179ms, 12643B)
[2026-04-07T08:30:32.899Z] GET https://js-cdn.music.apple.com/musickit/v3/components/musickit-components/p-70a2b3a8.js → 200 (68ms, 13529B)
[2026-04-07T08:30:32.899Z] GET https://js-cdn.music.apple.com/musickit/v3/components/musickit-components/p-34a39679.js → 200 (68ms, 625B)
[2026-04-07T08:36:18.463Z] GET https://open.spotify.com/oembed?url=https://open.spotify.com/track/7i1qsbXNf6C8Zdo3COMzJY → 200 (752ms, 752B)
[2026-04-07T08:36:43.289Z] GET https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f8745455aaee4d78cda4100b → pending (?ms, ?B)
[2026-04-07T08:39:45.377Z] GET https://itunes.apple.com/search?term=voquote+WISE+VIP+REMIX&entity=song&limit=5 → pending (?ms, ?B)
[2026-04-07T08:39:48.535Z] GET https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f8745455aaee4d78cda4100b → 200 (1ms, 22663B)
[2026-04-07T08:43:14.051Z] GET https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/b3/73/e9/b373e9b8-9ead-e9a7-0825-f8d8a30dabd6/3617221727448_cover.png/600x600bb.jpg → 200 (263ms, 52450B)
[2026-04-07T08:51:29.099Z] GET https://www.youtube.com/watch?v=S4tvirlG8sQ → pending (?ms, ?B)
[2026-04-07T08:51:30.527Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/web-animations-next-lite.min.vflset/web-animations-next-lite.min.js → 200 (415ms, 50864B)
[2026-04-07T08:51:30.527Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/webcomponents-all-noPatch.vflset/webcomponents-all-noPatch.js → 200 (414ms, 113370B)
[2026-04-07T08:51:30.527Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/fetch-polyfill.vflset/fetch-polyfill.js → 200 (221ms, 9611B)
[2026-04-07T08:51:30.527Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/intersection-observer.min.vflset/intersection-observer.min.js → 200 (221ms, 5559B)
[2026-04-07T08:51:30.529Z] GET https://i.ytimg.com/generate_204 → pending (?ms, ?B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/scheduler.vflset/scheduler.js → 200 (259ms, 8768B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/www-i18n-constants-en_US.vflset/www-i18n-constants.js → 200 (259ms, 5794B)
[2026-04-07T08:51:30.683Z] GET https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;700&family=YouTube+Sans:wght@300..900&display=swap → pending (?ms, ?B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/player/8c83ec2e/www-player.css → 200 (305ms, 528734B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/desktop/fd6720bf/cssbin/www-main-desktop-watch-page-skeleton.css → 200 (321ms, 8540B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/desktop/fd6720bf/cssbin/www-main-desktop-player-skeleton.css → 200 (320ms, 2741B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/desktop/fd6720bf/cssbin/www-onepick.css → 200 (305ms, 797B)
[2026-04-07T08:51:30.683Z] GET https://www.youtube.com/s/_/ytmainappweb/_/ss/k=ytmainappweb.kevlar_base.dhB-ApxD1NA.L.W.O/am=AAAAEIAAMAE/d=0/br=1/rs=AGKMywGu2mW8CdjcztiQASIv-If7N0RHIQ → 200 (335ms, ?B)
[2026-04-07T08:51:31.354Z] GET https://www.youtube.com/s/player/8c83ec2e/player_ias.vflset/en_US/base.js → 200 (442ms, 2724848B)
[2026-04-07T08:51:31.354Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/spf.vflset/spf.js → 200 (222ms, 38138B)
[2026-04-07T08:51:31.354Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/network.vflset/network.js → 200 (431ms, 14141B)
[2026-04-07T08:51:31.354Z] GET https://www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.PaBtaJJ1FDc.es5.O/am=AAAAEAAAIAE/d=1/br=1/rs=AGKMywF0NN9C_6Uwm92-HF6EzFDJ8cfEkw/m=kevlar_base_module,kevlar_main_module → pending (?ms, ?B)
[2026-04-07T08:51:31.513Z] GET https://rr5---sn-n4v7sns7.googlevideo.com/generate_204 → pending (?ms, ?B)
[2026-04-07T08:51:31.513Z] GET https://rr4---sn-o097znzk.c.youtube.com/generate_204 → pending (?ms, ?B)
[2026-04-07T08:51:31.520Z] GET https://i.ytimg.com/vi/S4tvirlG8sQ/hqdefault.jpg → pending (?ms, ?B)
[2026-04-07T08:51:31.872Z] GET https://www.youtube.com/s/player/8c83ec2e/player_ias.vflset/en_US/offline.js → pending (?ms, ?B)
[2026-04-07T08:51:31.872Z] GET https://fonts.gstatic.com/s/roboto/v51/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → pending (?ms, ?B)
[2026-04-07T08:51:31.872Z] GET https://www.youtube.com/s/player/8c83ec2e/player_ias.vflset/en_US/remote.js → pending (?ms, ?B)
[2026-04-07T08:51:31.872Z] GET https://www.youtube.com/s/player/8c83ec2e/player_ias.vflset/en_US/miniplayer.js → pending (?ms, ?B)
[2026-04-07T08:51:31.877Z] GET https://accounts.google.com/ServiceLogin?service=youtube&uilel=3&passive=true&continue=https%3A%2F%2Fwww.youtube.com%2Fsignin%3Faction_handle_signin%3Dtrue%26app%3Ddesktop%26hl%3Den%26next%3D%252Fsignin_passive%26feature%3Dpassive&hl=en → pending (?ms, ?B)
[2026-04-07T08:51:31.882Z] GET https://static.doubleclick.net/instream/ad_status.js → pending (?ms, ?B)
[2026-04-07T08:51:32.861Z] GET https://www.youtube.com/s/search/audio/failure.mp3 → 206 (250ms, 6529B)
[2026-04-07T08:51:32.861Z] GET https://www.youtube.com/s/search/audio/no_input.mp3 → 206 (250ms, 6953B)
[2026-04-07T08:51:32.861Z] GET https://www.youtube.com/s/search/audio/open.mp3 → 206 (250ms, 6167B)
[2026-04-07T08:51:32.861Z] GET https://www.youtube.com/s/search/audio/success.mp3 → 206 (250ms, 6636B)
[2026-04-07T08:51:32.862Z] GET https://www.google.com/js/th/PF32M1WFt3Opj6X4HHxBvSVo4hj3YoJbcs9XKKWIAD0.js → pending (?ms, ?B)
[2026-04-07T08:51:32.889Z] GET https://googleads.g.doubleclick.net/pagead/id → pending (?ms, ?B)
[2026-04-07T08:51:32.898Z] GET https://www.gstatic.com/cv/js/sender/v1/cast_sender.js → pending (?ms, ?B)
[2026-04-07T08:51:32.921Z] GET https://fonts.gstatic.com/s/i/youtube_outline_experimental/search/v15/24px.svg → pending (?ms, ?B)
[2026-04-07T08:51:32.921Z] GET https://fonts.gstatic.com/s/i/youtube_outline_experimental/menu/v1/24px.svg → pending (?ms, ?B)
[2026-04-07T08:51:32.921Z] GET https://www.gstatic.com/youtube/img/icons/web/youtube_fill/yt-logo-updated/v3/24px.svg → pending (?ms, ?B)
[2026-04-07T08:51:33.074Z] GET https://www.youtube.com/s/desktop/fd6720bf/jsbin/lottie-light.vflset/lottie-light.js → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/cWL4s6XpxHA/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYRyBUKGUwDw==&rs=AOn4CLDEISsy2fA8P0JB1gspzTCkv8tj5w → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/v0uKLCZocjs/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBuu13hstToyglJodp8gwAY60M_gg → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/L-WriIVOyYE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCAcAMt8aFK-_wYk054Zq4opQoCiQ → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/xwOaStX0mxE/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLCQWdqz_HtCZ6Bvzf9KZeNfiLjLWg → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/Y6AysCVPQDA/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLBG_TNeD-OnQ9u7n52hW8R8GZpgeg → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/a8-QsBHoH94/hqdefault.jpg?sqp=-oaymwEmCKgBEF5IWvKriqkDGQgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAE=&rs=AOn4CLDGG8YJVfZ0W1qpway6SZ14zMuYpA → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://i.ytimg.com/vi/f-IcFNRUSIU/hqdefault.jpg?sqp=-oaymwFACKgBEF5IWvKriqkDMwgBFQAAiEIYAdgBAeIBCggYEAIYBjgBQAHwAQH4Af4JgALQBYoCDAgAEAEYQyBlKCQwDw==&rs=AOn4CLD-eQym0Uv4AXyrsd8FkpHaXZ5ISw → pending (?ms, ?B)
[2026-04-07T08:51:33.099Z] GET https://yt3.ggpht.com/btm1_PK-7VRUr9GY2D0UV_2XfbUZPBjghyptjSO1crsfN86HyTYDWPmUbq7JxC3H0Lxe_s067nA=s48-c-k-c0x00ffffff-no-rj → pending (?ms, ?B)
[2026-04-07T08:51:33.130Z] GET https://fonts.googleapis.com/css?family=Roboto:300italic,400italic,500italic,700italic → pending (?ms, ?B)
[2026-04-07T08:51:33.130Z] GET https://fonts.googleapis.com/css?family=Roboto+Mono:400 → pending (?ms, ?B)
[2026-04-07T08:51:33.130Z] GET https://www.google.com/pagead/lvz?evtid=ACd6KtxF7mzbpjjvf_EPLWRRNFHYS5gxoFQcKYMIK4WgDGRKsnh8GBNb936--IZQmpGtg5c6n1vYS_PZKHEuWRKCVaiAadDbcQ&req_ts=1775551891&pg=MainAppBootstrap%3AWatch&az=1&sigh=AB9vU41Djmx6U7NIMbDEXI1cLfLtHcwluA → pending (?ms, ?B)
[2026-04-07T08:51:33.130Z] GET https://www.google.cn/pagead/lvz?evtid=ACd6KtxF7mzbpjjvf_EPLWRRNFHYS5gxoFQcKYMIK4WgDGRKsnh8GBNb936--IZQmpGtg5c6n1vYS_PZKHEuWRKCVaiAadDbcQ&req_ts=1775551891&pg=MainAppBootstrap%3AWatch&az=1&sigh=AB9vU41Djmx6U7NIMbDEXI1cLfLtHcwluA → pending (?ms, ?B)
[2026-04-07T08:51:33.142Z] GET https://youtube.com/ → pending (?ms, ?B)
[2026-04-07T08:51:33.175Z] GET https://googleads.g.doubleclick.net/pagead/id → pending (?ms, ?B)
[2026-04-07T08:51:33.175Z] POST https://www.youtube.com/youtubei/v1/log_event?alt=json → 200 (306ms, 28B)
[2026-04-07T08:51:33.175Z] GET https://www.youtube.com/s/_/ytmainappweb/_/js/k=ytmainappweb.kevlar_base.en_US.PaBtaJJ1FDc.es5.O/am=AAAAEAAAIAE/d=1/exm=kevlar_base_module,kevlar_main_module/ed=1/br=1/rs=AGKMywF0NN9C_6Uwm92-HF6EzFDJ8cfEkw/m=QlbBce,De8mUc → 200 (240ms, 4293B)
[2026-04-07T08:51:33.178Z] GET https://fonts.gstatic.com/s/i/youtube_outline_experimental/x/v11/24px.svg → pending (?ms, ?B)
[2026-04-07T08:51:33.178Z] GET https://fonts.gstatic.com/s/i/youtube_outline_experimental/overflow_horizontal/v6/24px.svg → pending (?ms, ?B)
